Risk,Year,Amount
High fasting plasma glucose,1994,1979630.8
High fasting plasma glucose,1995,2019385.8
High fasting plasma glucose,1996,2060821.4
High fasting plasma glucose,1997,2113628.2
High fasting plasma glucose,1998,2167024.4
High fasting plasma glucose,1999,2231164.6
High fasting plasma glucose,2000,2294048.1
High fasting plasma glucose,2001,2370997.9
High fasting plasma glucose,2002,2480286.5
High fasting plasma glucose,2003,2582064.5
High fasting plasma glucose,2004,2643921.2
High fasting plasma glucose,2005,2729305.3
High fasting plasma glucose,2006,2766139.2
High fasting plasma glucose,2007,2820272.7
High fasting plasma glucose,2008,2898923
High fasting plasma glucose,2009,2952135.4
High fasting plasma glucose,2010,3016500.6
High fasting plasma glucose,2011,3085533.8
High fasting plasma glucose,2012,3164830.8
High fasting plasma glucose,2013,3253631
High fasting plasma glucose,2014,3336955
High fasting plasma glucose,2015,3434977.3
High fasting plasma glucose,2016,3500454.3
High fasting plasma glucose,2017,3560558.1
High fasting plasma glucose,2018,3691215.3
High fasting plasma glucose,2019,3857663.3
Overweight/Obese,1990,1350507
Overweight/Obese,1991,1384887
Overweight/Obese,1992,1430177.2
Overweight/Obese,1993,1499243
Overweight/Obese,1994,1552954
Overweight/Obese,1995,1584291.1
Overweight/Obese,1996,1609406.2
Overweight/Obese,1997,1643076.5
Overweight/Obese,1998,1680802.7
Overweight/Obese,1999,1739970.4
Overweight/Obese,2000,1786406.1
Overweight/Obese,2001,1834841.2
Overweight/Obese,2002,1900433.9
Overweight/Obese,2003,1956542.1
Overweight/Obese,2004,1983048.1
Overweight/Obese,2005,2039125.7
Overweight/Obese,2006,2061122.9
Overweight/Obese,2007,2103114
Overweight/Obese,2008,2166291.5
Overweight/Obese,2009,2210315.5
Overweight/Obese,2010,2269925.8
Overweight/Obese,2011,2322384
Overweight/Obese,2012,2389768.3
Overweight/Obese,2013,2458913.2
Overweight/Obese,2014,2532030.4
Overweight/Obese,2015,2631471.1
Overweight/Obese,2016,2712698
Overweight/Obese,2017,2782240.1
Overweight/Obese,2018,2875353.5
Overweight/Obese,2019,2979682.4
Drug use,1990,143765.8
Drug use,1991,153675.6
Drug use,1992,163688.7
Drug use,1993,175390.5
Drug use,1994,187397.8
Drug use,1995,196983.1
Drug use,1996,202903.1
Drug use,1997,207009.4
Drug use,1998,213755.3
Drug use,1999,223093.4
Drug use,2000,230958.4
Drug use,2001,234198
Drug use,2002,236859.9
