ID,Entity,Code,Year,Death,Calories,Obese,Population__historical_estimates_,Continent,Column1,Column2,Column3,,Asia,,,,,3682,#REF!,,,
Iraq2018,Iraq,IRQ,2018,20.76,2608,53.7,40590700,Asia,,,,,,,,,,,,,,
Israel2018,Israel,ISR,2018,10.54,3528,68.4,8456487,Asia,,,,,,,,,,,,,,
Italy2018,Italy,ITA,2018,9.68,3503,65.7,59877432,Europe,,,,,,,,,,,,,,
Jamaica2018,Jamaica,JAM,2018,17.47,2792,48.3,2811842,North America,,,,,,,,,,,,,,
Jordan2018,Jordan,JOR,2018,23.48,2732,62.5,10459864,Asia,,,,,,,,,,,,,,
Japan2018,Japan,JPN,2018,3.88,2705,28.8,126255872,Asia,,,,,,,,,,,,,,
Kazakhstan2018,Kazakhstan,KAZ,2018,15.75,3067,59.9,18538100,Asia,,,,,,,,,,,,,,
Kenya2018,Kenya,KEN,2018,5.99,2197,17.1,49953300,Africa,,,,,,,,,,,,,,
South Korea2018,South Korea,KOR,2018,5.76,3420,37.9,51676900,Asia,,,,,,,,,,,,,,
Lebanon2018,Lebanon,LBN,2018,17.64,2857,64.3,5950842,Asia,,,,,,,,,,,,,,
Liberia2018,Liberia,LBR,2018,6.96,2168,17.4,4889396,Africa,,,,,,,,,,,,,,
Sri Lanka2018,Sri Lanka,LKA,2018,10.56,2737,17.3,21580712,Asia,,,,,,,,,,,,,,
Morocco2018,Morocco,MAR,2018,16.78,3412,49.7,35927516,Africa,,,,,,,,,,,,,,
Mexico2018,Mexico,MEX,2018,16.42,3157,63.6,124013864,North America,,,,,,,,,,,,,,
Mongolia2018,Mongolia,MNG,2018,12.95,2579,50,3163994,Asia,,,,,,,,,,,,,,
Malaysia2018,Malaysia,MYS,2018,9.53,2845,37.5,32399270,Asia,,,,,,,,,,,,,,
Namibia2018,Namibia,NAM,2018,9.44,2469,26.7,2405682,Africa,,,,,,,,,,,,,,
Niger2018,Niger,NER,2018,3.7,2601,11.2,22577060,Africa,,,,,,,,,,,,,,
Nigeria2018,Nigeria,NGA,2018,4.93,2572,23.6,198387616,Africa,,,,,,,,,,,,,,
Netherlands2018,Netherlands,NLD,2018,7.29,3297,62.6,17286042,Europe,,,,,,,,,,,,,,
Norway2018,Norway,NOR,2018,6.57,3371,65.4,5312321,Europe,,,,,,,,,,,,,,
Nepal2018,Nepal,NPL,2018,4.26,2769,15.5,28506718,Asia,,,,,,,,,,,,,,
New Zealand2018,New Zealand,NZL,2018,10.26,3191,68.8,4838528,Oceania,,,,,,,,,,,,,,
Pakistan2018,Pakistan,PAK,2018,7.81,2486,21,219731488,Asia,,,,,,,,,,,,,,
Peru2018,Peru,PER,2018,9.37,2775,52.7,32203946,South America,,,,,,,,,,,,,,
Philippines2018,Philippines,PHL,2018,9.39,2662,21.8,108568832,Asia,,,,,,,,,,,,,,
North Korea2018,North Korea,PRK,2018,3.25,2019,18.9,25638152,Asia,,,,,,,,,,,,,,
Paraguay2018,Paraguay,PRY,2018,14.07,2768,51.5,6443337,South America,,,,,,,,,,,,,,
Russia2018,Russia,RUS,2018,15.02,3345,60.3,145652288,Europe,,,,,,,,,,,,,,
Saudi Arabia2018,Saudi Arabia,SAU,2018,20.96,3307,65.5,35018132,Asia,,,,,,,,,,,,,,
Sudan2018,Sudan,SDN,2018,14.23,2578,21.5,41999064,Africa,,,,,,,,,,,,,,
Sao Tome and Principe2018,Sao Tome and Principe,STP,2018,9.58,2446,24.1,211358,Africa,,,,,,,,,,,,,,
Suriname2018,Suriname,SUR,2018,13.95,2698,52,593729,South America,,,,,,,,,,,,,,
Sweden2018,Sweden,SWE,2018,9.17,3184,62.6,10162300,Europe,,,,,,,,,,,,,,
Togo2018,Togo,TGO,2018,5.94,2443,15.7,8046680,Africa,,,,,,,,,,,,,,
Thailand2018,Thailand,THA,2018,7.93,2804,26,71127808,Asia,,,,,,,,,,,,,,
Tajikistan2018,Tajikistan,TJK,2018,9.13,2109,39.4,9128131,Asia,,,,,,,,,,,,,,
Turkmenistan2018,Turkmenistan,TKM,2018,19.91,2830,52.6,6065072,Asia,,,,,,,,,,,,,,
Timor2018,Timor,TLS,2018,3.19,2287,,1261850,Asia,,,,,,,,,,,,,,
Trinidad and Tobago2018,Trinidad and Tobago,TTO,2018,20.15,2991,51.2,1504707,North America,,,,,,,,,,,,,,
Tunisia2018,Tunisia,TUN,2018,16.49,3450,55.1,11933040,Africa,,,,,,,,,,,,,,
Turkey2018,Turkey,TUR,2018,16.6,3711,63,82809304,Asia,,,,,,,,,,,,,,
Taiwan2018,Taiwan,TWN,2018,7.7,2983,42.4,23726186,Asia,,,,,,,,,,,,,,
Tanzania2018,Tanzania,TZA,2018,6.73,2373,15.2,58090444,Africa,,,,,,,,,,,,,,
Uganda2018,Uganda,UGA,2018,5.22,1981,12.5,41515400,Africa,,,,,,,,,,,,,,
Uruguay2018,Uruguay,URY,2018,9.43,3202,62.9,3427044,South America,,,,,,,,,,,,,,
United States of America2018,United States of America,USA,2018,18.19,3850,72,,North America,,,,,,,,,,3649,1,,,
Uzbekistan2018,Uzbekistan,UZB,2018,16.45,3011,46.8,32449578,Asia,,,,,,,,,,,,,,
Venezuela2018,Venezuela,VEN,2018,13.57,2120,62.2,29825652,South America,,,,,,,,,,,,,,
Vietnam2018,Vietnam,VNM,2018,5.39,3025,15.8,94914328,Asia,,,,,,,,,,,,,,
Vanuatu2018,Vanuatu,VUT,2018,13.49,2607,47.2,297307,Oceania,,,,,,,,,,,,,,
Samoa2018,Samoa,WSM,2018,19.13,3030,73.4,209715,Oceania,,,,,,,,,,,,,,
Yemen2018,Yemen,YEM,2018,7.26,2154,36.8,30790514,Asia,,,,,,,,,,,,,,
South Africa2018,South Africa,ZAF,2018,11.89,2899,40.2,57339632,Africa,,,,,,,,,,,,,,
Zambia2018,Zambia,ZMB,2018,6.53,2002,18.5,17835898,Africa,,,,,,,,,,,,,,
Zimbabwe2018,Zimbabwe,ZWE,2018,6.27,1908,19.5,15052191,Africa,,,,,,,,,,,,,,
Afghanistan2017,Afghanistan,AFG,2017,12.54,2051,13.2,35643420,Asia,,,,,,,,,,,,,,
United Arab Emirates2017,United Arab Emirates,ARE,2017,23.87,3344,67.7,9068297,Asia,,,,,,,,,,,,,,
Argentina2017,Argentina,ARG,2017,10.19,3269,66.6,44054616,South America,,,,,,,,,,,,,,
Australia2017,Australia,AUS,2017,17.21,3406,70.8,24590336,Oceania,,,,,,,,,,,,,,
Bangladesh2017,Bangladesh,BGD,2017,4.3,2562,14.1,161793968,Asia,,,,,,,,,,,,,,
Brazil2017,Brazil,BRA,2017,11.8,3250,55.2,208504960,South America,,,,,,,,,,,,,,
Central African Republic2017,Central African Republic,CAF,2017,2.7,1799,12.7,4996741,Africa,,,,,,,,,,,,,,
Canada2017,Canada,CAN,2017,9.89,3501,69,36554344,North America,,,,,,,,,,,,,,
Switzerland2017,Switzerland,CHE,2017,8.2,3388,64.3,8451688,Europe,,,,,,,,,,,,,,
China2017,China,CHN,2017,6.03,3179,38.7,1410275968,Asia,,,,,,,,,,,,,,
Congo2017,Congo,COG,2017,9.2,2244,22.2,5312347,Africa,,,,,,,,,,,,,,
Colombia2017,Colombia,COL,2017,9.97,3109,54.2,48351668,South America,,,,,,,,,,,,,,
Egypt2017,Egypt,EGY,2017,20.84,3344,55.5,101789384,Africa,,,,,,,,,,,,,,
Spain2017,Spain,ESP,2017,9.64,3303,67.1,46584168,Europe,,,,,,,,,,,,,,
Ethiopia2017,Ethiopia,ETH,2017,3.35,2334,10.3,108197944,Africa,,,,,,,,,,,,,,
