Column1,Food,Serving,calories
,Pomelo,1 pomelo (609 g),231
,Vanilla Cone,1 cone (142 g),230
,Veggie Delight,1 sandwich (166 g),229
,Cabbage,1 head (908 g),227
,Durum Wheat Semolina,2 oz. (56 g),222
,French Fries,1 serving (71 g),222
,Succotash,1 cup (192 g),221
,Plantains,1 plantain (179 g),218
,Plantain,1 plantain (179 g),218
,Papaya,1 fruit (500 g),215
,Taco,1 taco (98 g),213
,Ben and Jerry’s,1 scoop (92 g),210
,Broccoli,1 bunch (608 g),207
,Orecchiette,2 oz. (56 g),207
,Penne Rigate,2 oz. (56 g),207
,Spaghetti,2 oz. (56 g),207
,Tagliatelle,2 oz. (56 g),207
,Broccoli Soup,1 cup (237 g),206
,Spaetzle,2 oz. (56 g),206
,Spirelli,2 oz. (56 g),206
,Vermicelli,2 oz. (56 g),206
,McFlurry,1 mcflurry (134 g),205
,Mango,1 mango (336 g),202
,Mango,1 mango (336 g),202
,Paella,1/2 package (128 g),200
,Peanut Butter Sandwich,1 sandwich (49 g),200
,Farfalle,2 oz. (56 g),200
,Linguine,2 oz. (56 g),200
,Manicotti,2 oz. (56 g),200
,Orzo,2 oz. (56 g),200
,Pierogi,3 pierogi (100 g),200
,Egg Roll,1 roll (80 g),200
,Tandoori Chicken,1 serving (175 g),198
,Capellini,2 oz. (56 g),198
,Fettuccine,2 oz. (56 g),198
,Rigatoni,2 oz. (56 g),198
,Rotini,2 oz. (56 g),198
,Fusilli,2 oz. (56 g),197
,Penne,2 oz. (56 g),197
,Whole Grain Spaghetti,2 oz. (56 g),197
,Ziti,2 oz. (56 g),197
,Chicken Tikka Masala,1 serving (241 g),195
,Whole Grain Noodles,2 oz. (56 g),194
,Potato Soup,1 serving (240 g),192
,Capricciosa Pizza,1 slice (74 g),192
,Soft Serve,1 cup (86 g),191
,Pea Soup,1 cup (253 g),190
,Pea Soup,1 cup (253 g),190
,Turkey Hill,1 sandwich (70 g),190
,Shrimp Pizza,1 slice (91 g),190
,Beef Stew,1 cup (196 g),186
,Seafood Pizza,1 slice (76 g),186
,Double Rainbow,1 scoop (72 g),185
,Wasabi,1 root (169 g),184
,Pepperoni Pizza,1 slice (71 g),181
,Salami Pizza,1 slice (71 g),181
,Snickers Ice Cream,1 bar (50 g),180
,Schwan’s,1 scoop (72 g),177
,Sausage Pizza,1 slice (72 g),177
,Cherimoya,1 cherimoya (235 g),176
,Mashed Potatoes,1 cup (210 g),174
,New York Style Pizza,1 slice (103 g),174
,Margherita Pizza,1 slice (63 g),173
,Mint Chocolate Chip Ice Cream,1 scoop (72 g),172
,Lasagna,1 piece (130 g),172
,Tortilla Wrap,1 wrap (63 g),171
,Baskin-Robbins,1 scoop (71 g),170
,Coffee Ice Cream,1 scoop (72 g),170
,Strawberry Ice Cream,1 scoop (72 g),170
,Cheese Pizza,1 slice (63 g),168
,Applesauce,1 cup (246 g),167
,Magnolia,1 scoop (72 g),166
,Red Pepper Pizza,1 slice (86 g),165
,Potato,1 potato (213 g),164
,Ice Milk,1 scoop (103 g),164
,Golden Mushroom Soup,1 cup (248 g),161
,Tortilla Chips,20 chips (32 g),160
,Shepherds Pie,1 pie (227 g),159
,Low Carb Pasta,2 oz. (56 g),158
,Thin Crust Pizza,1 slice (60 g),157
,Chocolate Ice Cream,1 scoop (72 g),156
,Chocolate Chip Ice Cream,1 scoop (72 g),155
,Sundae,1 scoop (72 g),155
,Hawaiian Pizza,1 slice (134 g),154
,Mozzarella Pizza,1 slice (62 g),154
,Spinach Feta Pizza,1 slice (62 g),150
,Creamed Spinach,1 cup (200 g),148
,Rutabaga,1 rutabaga (386 g),147
,Winter Squash,1 squash (431 g),147
,Thai Soup,1 cup (245 g),147
,Egg Noodles,1 cup (38 g),146
,French Vanilla Ice Cream,1 scoop (72 g),145
,Vanilla Ice Cream,1 scoop (72 g),145
,Spinach Pizza,1 slice (62 g),145
,Jackfruit,1 cup (151 g),143
,Jackfruit,1 cup (151 g),143
,Tarte Flambée,1 square (56 g),142
,BBQ Rib,1 rib (67 g),142
,Sapodilla,1 sapodilla (170 g),141
,Cream of Broccoli Soup,1 serving (310 g),140
,Friendly’s,1 scoop (66 g),140
,Savoury Biscuits,40 grams (40 g),139
,Lentil Soup,1 cup (248 g),139
,Goat Cheese Pizza,1 slice (63 g),138
,Custard Apple,1 custard apple (135 g),136
,Potato Salad,1/3 cup (95 g),136
,Chinese Cabbage,1 head (840 g),134
,Ravioli,5 ravioli (66 g),134
,Shrimp Cocktail,1 oz. (28 g),130
,Wheat Germ Oil,1 tbsp (14 ml),130
,Wedding Soup,1 cup (245 g),130
,Cookie Dough Ice Cream,1/2 cup (65 g),130
,Pizza Dough,2 oz. (57 g),130
,Parsnips,1 parsnip (170 g),128
,Menhaden Oil,1 tbsp (14 ml),128
,Salmon Oil,1 tbsp (14 ml),128
,Fruit salad,1 cup (249 g),125
,Wheat Bran,1 cup (58 g),125
,Argan Oil,1 tbsp (14 ml),125
,Apricot Kernel Oil,1 tbsp (14 ml),124
,Babassu Oil,1 tbsp (14 ml),124
,Canola Oil,1 tbsp (14 ml),124
,Flaxseed Oil,1 tbsp (14 ml),124
,Grape Seed Oil,1 tbsp (14 ml),124
,Hazelnut Oil,1 tbsp (14 ml),124
,Mustard Oil,1 tbsp (14 ml),124
,Oat Oil,1 tbsp (14 ml),124
,Poppy Seed Oil,1 tbsp (14 ml),124
,Rice Bran Oil,1 tbsp (14 ml),124
